exercise_id,exercise_name,keep
CANONICAL:FFDB:1820,Dumbbell Crush Grip Bent Over Row,
CANONICAL:FFDB:1663,Dumbbell Crush Grip Bicep Curl,
CANONICAL:FFDB:1822,Dumbbell Crush Grip Bicep Curl to Overhead Press,
CANONICAL:FFDB:1958,Dumbbell Crush Grip Decline Bench Skull Crusher,
CANONICAL:FFDB:1824,Dumbbell Crush Grip Floor Press,
CANONICAL:FFDB:3180,Dumbbell Crush Grip Floor Skull Crusher,
CANONICAL:FFDB:3158,Dumbbell Crush Grip Front Rack March,
CANONICAL:FFDB:2134,Dumbbell Crush Grip Front Rack Squat,
CANONICAL:FFDB:936,Dumbbell Crush Grip Hollow Body Flutter Kicks,
CANONICAL:FFDB:71,Dumbbell Crush Grip Hollow Body Hold,
CANONICAL:FFDB:1957,Dumbbell Crush Grip Incline Bench Skull Crusher,
CANONICAL:FFDB:32,Dumbbell Crush Grip Otis Up,
CANONICAL:FFDB:2926,Dumbbell Crush Grip Overhead March,
CANONICAL:FFDB:1823,Dumbbell Crush Grip Overhead Press,
CANONICAL:FFDB:1825,Dumbbell Crush Grip Overhead Tricep Extension,
CANONICAL:FFDB:927,Dumbbell Crush Grip Romanian Deadlift,
CANONICAL:FFDB:2029,Dumbbell Crush Grip Seated Bicep Curl,
CANONICAL:FFDB:2678,Dumbbell Crush Grip Seated Good Morning,
CANONICAL:FFDB:2024,Dumbbell Crush Grip Seated Overhead Tricep Extension,
CANONICAL:FFDB:2843,Dumbbell Crush Grip Single Leg Romanian Deadlift,
CANONICAL:FFDB:1956,Dumbbell Crush Grip Skull Crusher,
CANONICAL:FFDB:655,Dumbbell Crush Grip Spider Curl,
CANONICAL:FFDB:3085,Dumbbell Crush Grip Tall Kneeling Bicep Curl,
CANONICAL:FFDB:2012,Dumbbell Crush Grip Tall Kneeling Overhead Tricep Extension,
CANONICAL:FFDB:221,Dumbbell Crush Grip Z Press,
EXERCISE:Dumbbell_Tricep_Extension_-Pronated_Grip,Dumbbell Tricep Extension -Pronated Grip,
CANONICAL:FFDB:426,EZ Bar Close Grip Bench Press,
CANONICAL:FFDB:397,EZ Bar Close Grip Bicep Curl,
CANONICAL:FFDB:428,EZ Bar Close Grip Decline Bench Press,
CANONICAL:FFDB:427,EZ Bar Close Grip Incline Bench Press,
CANONICAL:FFDB:3142,EZ Bar Close Grip Strict Bicep Curl,
CANONICAL:FFDB:1960,EZ Bar Reverse Grip Bent Over Row,
CANONICAL:FFDB:141,EZ Bar Reverse Grip Bicep Curl,
CANONICAL:FFDB:3252,EZ Bar Reverse Grip Front Raise,
CANONICAL:FFDB:423,EZ Bar Reverse Grip Overhead Press,
CANONICAL:FFDB:425,EZ Bar Reverse Grip Seated Overhead Press,
CANONICAL:FFDB:132,EZ Bar Wide Grip Bicep Curl,
CANONICAL:FFDB:695,EZ Bar Wide Grip Strict Bicep Curl,
EXERCISE:Front_Squat_Clean_Grip,Front Squat (Clean Grip),
EXERCISE:Hammer_Grip_Incline_DB_Bench_Press,Hammer Grip Incline DB Bench Press,
EXERCISE:Hanging_Bar_Good_Morning,Hanging Bar Good Morning,
EXERCISE:Hanging_Leg_Raise,Hanging Leg Raise,
EXERCISE:Hanging_Pike,Hanging Pike,
CANONICAL:FFDB:2640,Heavy Sandbag Alternating Hang Shoulder Clean,
CANONICAL:FFDB:2641,Heavy Sandbag Hang Shoulder Clean,
EXERCISE:Incline_Push-Up_Close-Grip,Incline Push-Up Close-Grip,
EXERCISE:Incline_Push-Up_Reverse_Grip,Incline Push-Up Reverse Grip,
CANONICAL:FFDB:753,Kettlebell Alternating Halo to Horn Grip Bottoms Up Squat,
CANONICAL:FFDB:415,Kettlebell Bottoms Up Horn Grip Cyclist Squat,
CANONICAL:FFDB:941,Kettlebell Bottoms Up Horn Grip Goblet Bulgarian Split Squat,
CANONICAL:FFDB:952,Kettlebell Bottoms Up Horn Grip Toe Balance Squat,
CANONICAL:FFDB:2920,Kettlebell Close Grip Push Up,
CANONICAL:FFDB:2642,Kettlebell Dead Clean to Horn Grip Alternating Reverse Lunge,
CANONICAL:FFDB:1004,Kettlebell Dead Clean to Horn Grip Squat,
CANONICAL:FFDB:2922,Kettlebell Feet Elevated Close Grip Push Up,
CANONICAL:FFDB:2948,Kettlebell Horn Grip Alternating Cossack Squat,
CANONICAL:FFDB:2238,Kettlebell Horn Grip Alternating Curtsy Lunge,
CANONICAL:FFDB:1748,Kettlebell Horn Grip Alternating Forward Lunge,
CANONICAL:FFDB:1744,Kettlebell Horn Grip Alternating Lateral Lunge,
CANONICAL:FFDB:2004,Kettlebell Horn Grip Alternating Pistol Squat,
CANONICAL:FFDB:1755,Kettlebell Horn Grip Alternating Reverse Lunge,
CANONICAL:FFDB:2753,Kettlebell Horn Grip Alternating Russian Step Up,
CANONICAL:FFDB:2681,Kettlebell Horn Grip Alternating Step Up,
CANONICAL:FFDB:185,Kettlebell Horn Grip Bicep Curl,
CANONICAL:FFDB:2943,Kettlebell Horn Grip Bulgarian Split Squat,
CANONICAL:FFDB:2505,Kettlebell Horn Grip Carry,
CANONICAL:FFDB:2951,Kettlebell Horn Grip Cossack Squat,
CANONICAL:FFDB:2482,Kettlebell Horn Grip Curtsy Lunge,
CANONICAL:FFDB:414,Kettlebell Horn Grip Cyclist Squat,
CANONICAL:FFDB:2949,Kettlebell Horn Grip Foot Elevated Cossack Squat,
CANONICAL:FFDB:2946,Kettlebell Horn Grip Foot Elevated Knee Over Toe Split Squat,
CANONICAL:FFDB:2812,Kettlebell Horn Grip Forward Lunge,
CANONICAL:FFDB:3015,Kettlebell Horn Grip Half Kneeling Bicep Curl,
CANONICAL:FFDB:2945,Kettlebell Horn Grip Knee Over Toe Split Squat,
CANONICAL:FFDB:2986,Kettlebell Horn Grip Lateral Lunge,
CANONICAL:FFDB:2950,Kettlebell Horn Grip Low Switch Cossack Squat,
CANONICAL:FFDB:2397,Kettlebell Horn Grip March,
CANONICAL:FFDB:966,Kettlebell Horn Grip Otis Up,
CANONICAL:FFDB:1471,Kettlebell Horn Grip Pistol Squat,
CANONICAL:FFDB:2886,Kettlebell Horn Grip Reverse Lunge,
CANONICAL:FFDB:2752,Kettlebell Horn Grip Russian Step Up,
CANONICAL:FFDB:3006,Kettlebell Horn Grip Seated Bicep Curl,
CANONICAL:FFDB:747,Kettlebell Horn Grip Skater Squat,
CANONICAL:FFDB:2944,Kettlebell Horn Grip Split Squat,
CANONICAL:FFDB:2952,Kettlebell Horn Grip Squat,
CANONICAL:FFDB:2680,Kettlebell Horn Grip Step Up,
CANONICAL:FFDB:3014,Kettlebell Horn Grip Tall Kneeling Bicep Curl,
CANONICAL:FFDB:1756,Kettlebell Horn Grip Walking Lunge,
CANONICAL:FFDB:2921,Kettlebell Kneeling Close Grip Push Up,
CANONICAL:FFDB:144,Landmine V Grip Row,
CANONICAL:FFDB:1189,Landmine V Grip Tall Kneeling Chest Press,
EXERCISE:Lying_Close-Grip_Bar_Curl_On_High_Pulley,Lying Close-Grip Bar Curl On High Pulley,
EXERCISE:Lying_Close-Grip_Barbell_Triceps_Extension_Behind_The_Head,Lying Close-Grip Barbell Triceps Extension Behind The Head,
EXERCISE:Lying_Close-Grip_Barbell_Triceps_Press_To_Chin,Lying Close-Grip Barbell Triceps Press To Chin,
CANONICAL:FFDB:510,Macebell Reverse Grip Offset Bent Over Row,
CANONICAL:FFDB:622,Macebell Reverse Grip Offset Bicep Curl,
EXERCISE:Mixed_Grip_Chin,Mixed Grip Chin,
CUSTOM:Neutral-Grip_Hang_Knees-Up,Neutral-Grip Hang Knees-Up,
EXERCISE:One_Handed_Hang,One Handed Hang,
CUSTOM:One-Arm_Dead_Hang,One-Arm Dead Hang,
EXERCISE:Palms-Down_Dumbbell_Wrist_Curl_Over_A_Bench,Palms-Down Dumbbell Wrist Curl Over A Bench,
EXERCISE:Palms-Down_Wrist_Curl_Over_A_Bench,Palms-Down Wrist Curl Over A Bench,
EXERCISE:Palms-Up_Barbell_Wrist_Curl_Over_A_Bench,Palms-Up Barbell Wrist Curl Over A Bench,
EXERCISE:Palms-Up_Dumbbell_Wrist_Curl_Over_A_Bench,Palms-Up Dumbbell Wrist Curl Over A Bench,
CANONICAL:FFDB:170,Parallette Close Grip Push Up,
CANONICAL:FFDB:869,Parallette Feet Elevated Close Grip Push Up,
CANONICAL:FFDB:1799,Parallette Kneeling Close Grip Push Up,
CANONICAL:FFDB:2576,Parallette Single Leg Close Grip Push Up,
CANONICAL:FFDB:1924,Resistance Band Alternating Reverse Grip Bicep Curl,
CANONICAL:FFDB:1923,Resistance Band Reverse Grip Bicep Curl,
EXERCISE:Reverse_Grip_Bent-Over_Rows,Reverse Grip Bent-Over Rows,
EXERCISE:Reverse_Grip_Triceps_Pushdown,Reverse Grip Triceps Pushdown,
CANONICAL:FFDB:1628,Ring Dead Hang,
CANONICAL:FFDB:755,Ring Dead Hang to Front Lever Pull Up,
CANONICAL:FFDB:2531,Ring False Grip Pull Up,
CANONICAL:FFDB:485,Ring Front Lever Pull to Inverted Hang,
CANONICAL:FFDB:754,Ring German Hang Pullout,
